Season,Pop,Pool,Sibship,Temp,Sib_ID,Fem_num,Fem_ID,LT50_date,Date_sampled,Date_diss_im,Egg_count,Total_length,LT50,Q10,Adj_egg_count,Lag
Feb,PTD,PTD2,PTD2_A1B,21.55,PTD2_A1B_H,2,PTD2_A1B_H2,9/12/22,9/12/22,5/15/23,16,1141.888,,,,0
Feb,PTD,PTD2,PTD2_A1B,21.55,PTD2_A1B_H,3,PTD2_A1B_H3,9/12/22,9/12/22,5/15/23,20,1091.024,,,,0
Feb,SC,SC1,SC1_C1,16.42,SC1_C1_L,2,SC1_C1_L2,9/11/22,9/11/22,5/15/23,4,1578.601,,,,0
Feb,PTD,PTD5,PTD5_B4B,21.55,PTD5_B4B_H,1,PTD5_B4B_H1,9/12/22,9/12/22,5/15/23,49,1228.502,,,,0
Feb,PTD,PTD2,PTD2_B3B,21.55,PTD2_B3B_H,1,PTD2_B3B_H1,9/12/22,9/12/22,5/15/23,44,1198.812,,,,0
Feb,PTD,PTD2,PTD2_B3B,21.55,PTD2_B3B_H,2,PTD2_B3B_H2,9/12/22,9/12/22,5/15/23,45,1188.536,,,,0
Feb,PTD,PTD2,PTD2_B3B,21.55,PTD2_B3B_H,3,PTD2_B3B_H3,9/12/22,9/12/22,5/15/23,37,1164.778,,,,0
Feb,PTD,PTD2,PTD2_A4B,21.55,PTD2_A4B_H,1,PTD2_A4B_H1,9/12/22,9/12/22,5/15/23,23,1149.808,,,,0
Feb,PTD,PTD2,PTD2_A4B,21.55,PTD2_A4B_H,2,PTD2_A4B_H2,9/12/22,9/12/22,5/15/23,24,1058.743,,,,0
Feb,PTD,PTD2,PTD2_A4B,21.55,PTD2_A4B_H,3,PTD2_A4B_H3,9/12/22,9/12/22,5/15/23,29,1198.228,,,,0
Feb,BMR,BMR1,BMR1_C4,16.42,BMR1_C4_L,2,BMR1_C4_L2,9/9/22,9/12/22,5/15/23,15,832.815,,,,3
Feb,BMR,BMR1,BMR1_C4,16.42,BMR1_C4_L,3,BMR1_C4_L3,9/9/22,9/12/22,5/15/23,13,961.028,,,,3
Feb,BMR,BMR4,BMR4_B4,16.42,BMR4_B4_L,2,BMR4_B4_L2,9/9/22,9/12/22,5/15/23,20,1414.806,,,,3
Feb,BMR,BMR4,BMR4_B4,16.42,BMR4_B4_L,3,BMR4_B4_L3,9/9/22,9/12/22,5/15/23,15,NA,,,,3
Feb,BMR,BMR4,BMR4_B4,16.42,BMR4_B4_L,4,BMR4_B4_L4,9/9/22,9/12/22,5/15/23,17,1307.629,,,,3
