"Survival","Sex","Temp","Sib_ID"
1,"F","35.5","SC4-A1L"
1,"F","35.8","SC4-A1L"
0,"F","35.8","SC4-A1L"
1,"F","36.3","SC4-A1L"
1,"F","36.3","SC4-A1L"
0,"F","36.8","SC4-A1L"
0,"F","37.2","SC4-A1L"
0,"F","37.2","SC4-A1L"
0,"F","37.5","SC4-A1L"
0,"F","37.5","SC4-A1L"
0,"F","37.5","SC4-A1L"
0,"F","35","SC3-C3L"
0,"F","36.3","SC3-C3L"
0,"F","37.5","SC3-C3L"
0,"F","38","SC3-C3L"
1,"F","35","RM3-B2H"
1,"F","35","RM3-B2H"
1,"F","35.5","RM3-B2H"
1,"F","35.5","RM3-B2H"
1,"F","35.8","RM3-B2H"
1,"F","35.8","RM3-B2H"
1,"F","35.8","RM3-B2H"
1,"F","36.3","RM3-B2H"
1,"F","36.3","RM3-B2H"
1,"F","36.3","RM3-B2H"
1,"F","36.8","RM3-B2H"
0,"F","37.2","RM3-B2H"
0,"F","37.5","RM3-B2H"
0,"F","37.5","RM3-B2H"
1,"F","36.3","RM4-C1L"
1,"F","37.5","RM4-C1L"
1,"F","38","RM4-C1L"
1,"F","35","RM4-C1H"
1,"F","35.8","RM4-C1H"
1,"F","35.8","RM4-C1H"
1,"F","35.8","RM4-C1H"
1,"F","36.8","RM4-C1H"
1,"F","37.2","RM4-C1H"
1,"F","37.5","RM4-C1H"
0,"F","37.5","RM4-C1H"
0,"F","35","RM3-C3L"
1,"F","35.5","RM3-C3L"
0,"F","35.5","RM3-C3L"
0,"F","35.8","RM3-C3L"
1,"F","36.3","RM3-C3L"
0,"F","36.3","RM3-C3L"
0,"F","36.8","RM3-C3L"
0,"F","37.2","RM3-C3L"
0,"F","37.5","RM3-C3L"
0,"F","37.5","RM3-C3L"
0,"F","38","RM3-C3L"
0,"F","38","RM3-C3L"
0,"F","37.2","RM4-B3L"
1,"F","35.5","RM4-B3H"
1,"F","36.8","RM4-B3H"
0,"F","37.2","RM4-B3H"
0,"F","38","RM4-B3H"
1,"F","35","RM3-C3H"
1,"F","35","RM3-C3H"
1,"F","35.5","RM3-C3H"
1,"F","35.8","RM3-C3H"
1,"F","36.3","RM3-C3H"
0,"F","37.5","RM3-C3H"
0,"F","38","RM3-C3H"
1,"F","35","RM3-B2L"
1,"F","35.5","RM3-B2L"
1,"F","35.5","RM3-B2L"
1,"F","35.8","RM3-B2L"
1,"F","35.8","RM3-B2L"
1,"F","35.8","RM3-B2L"
1,"F","36.3","RM3-B2L"
1,"F","36.3","RM3-B2L"
0,"F","36.8","RM3-B2L"
0,"F","36.8","RM3-B2L"
0,"F","37.2","RM3-B2L"
0,"F","37.2","RM3-B2L"
